merchant_id,risk_score,top_signal
10000531,1.0,tpv_drop
10000746,1.0,tpv_drop
10000857,1.0,tpv_drop
10000891,1.0,tpv_drop
10001067,1.0,tpv_drop
10001093,1.0,tpv_drop
10001239,1.0,tpv_drop
10001311,1.0,tpv_drop
10001317,1.0,tpv_drop
10001529,1.0,tpv_drop
10001532,1.0,tpv_drop
10001535,1.0,tpv_drop
10001891,1.0,tpv_drop
10001925,1.0,tpv_drop
10002191,1.0,tpv_drop
10002475,1.0,tpv_drop
10002876,1.0,tpv_drop
10002924,1.0,tpv_drop
10003053,1.0,tpv_drop
10003327,1.0,tpv_drop
10003335,1.0,tpv_drop
10003545,1.0,tpv_drop
10003549,1.0,tpv_drop
10003658,1.0,tpv_drop
10003672,1.0,tpv_drop
10003973,1.0,tpv_drop
10003997,1.0,tpv_drop
10004049,1.0,tpv_drop
10004070,1.0,tpv_drop
10004238,1.0,tpv_drop
10004649,1.0,tpv_drop
10004755,1.0,tpv_drop
10004778,1.0,tpv_drop
10004947,1.0,tpv_drop
10005518,1.0,tpv_drop
10005545,1.0,tpv_drop
10005608,1.0,tpv_drop
10005650,1.0,tpv_drop
10006264,1.0,tpv_drop
10006514,1.0,tpv_drop
10006700,1.0,tpv_drop
10006867,1.0,tpv_drop
10006962,1.0,tpv_drop
10007341,1.0,tpv_drop
10007346,1.0,tpv_drop
10007439,1.0,tpv_drop
10007475,1.0,tpv_drop
10007671,1.0,tpv_drop
10007907,1.0,tpv_drop
10008024,1.0,tpv_drop
10008129,1.0,tpv_drop
10008320,1.0,tpv_drop
10008563,1.0,tpv_drop
10008843,1.0,tpv_drop
10009017,1.0,tpv_drop
10009018,1.0,tpv_drop
10009108,1.0,tpv_drop
10009236,1.0,tpv_drop
10009335,1.0,tpv_drop
10009441,1.0,tpv_drop
10009641,1.0,tpv_drop
10009690,1.0,tpv_drop
10009610,0.8141917389087201,complaint
10006992,0.8057695767552737,complaint
10006345,0.8011596816316378,complaint
10000005,0.8,tpv_drop
10000006,0.8,tpv_drop
10000009,0.8,tpv_drop
10000010,0.8,tpv_drop
10000011,0.8,tpv_drop
10000013,0.8,tpv_drop
10000030,0.8,tpv_drop
10000036,0.8,tpv_drop
10000038,0.8,tpv_drop
10000040,0.8,tpv_drop
10000044,0.8,tpv_drop
10000046,0.8,tpv_drop
10000049,0.8,tpv_drop
10000050,0.8,tpv_drop
10000051,0.8,tpv_drop
10000052,0.8,tpv_drop
10000055,0.8,tpv_drop
10000058,0.8,tpv_drop
10000060,0.8,tpv_drop
10000062,0.8,tpv_drop
10000063,0.8,tpv_drop
10000064,0.8,tpv_drop
10000067,0.8,tpv_drop
10000068,0.8,tpv_drop
10000072,0.8,tpv_drop
10000076,0.8,tpv_drop
10000085,0.8,tpv_drop
10000092,0.8,tpv_drop
10000099,0.8,tpv_drop
10000104,0.8,tpv_drop
10000107,0.8,tpv_drop
10000108,0.8,tpv_drop
10000109,0.8,tpv_drop
10000111,0.8,tpv_drop
10000117,0.8,tpv_drop
10000119,0.8,tpv_drop
10000120,0.8,tpv_drop
10000121,0.8,tpv_drop
10000125,0.8,tpv_drop
10000126,0.8,tpv_drop
10000131,0.8,tpv_drop
10000132,0.8,tpv_drop
10000136,0.8,tpv_drop
10000138,0.8,tpv_drop
10000148,0.8,tpv_drop
10000152,0.8,tpv_drop
10000156,0.8,tpv_drop
10000159,0.8,tpv_drop
10000161,0.8,tpv_drop
10000162,0.8,tpv_drop
10000164,0.8,tpv_drop
10000167,0.8,tpv_drop
10000169,0.8,tpv_drop
10000176,0.8,tpv_drop
10000180,0.8,tpv_drop
10000184,0.8,tpv_drop
10000185,0.8,tpv_drop
10000189,0.8,tpv_drop
10000201,0.8,tpv_drop
10000202,0.8,tpv_drop
10000204,0.8,tpv_drop
10000212,0.8,tpv_drop
10000218,0.8,tpv_drop
10000219,0.8,tpv_drop
10000222,0.8,tpv_drop
10000224,0.8,tpv_drop
10000226,0.8,tpv_drop
10000233,0.8,tpv_drop
10000238,0.8,tpv_drop
10000240,0.8,tpv_drop
10000243,0.8,tpv_drop
10000244,0.8,tpv_drop
10000246,0.8,tpv_drop
10000252,0.8,tpv_drop
10000254,0.8,tpv_drop
10000262,0.8,tpv_drop
10000264,0.8,tpv_drop
10000274,0.8,tpv_drop
10000277,0.8,tpv_drop
10000278,0.8,tpv_drop
10000282,0.8,tpv_drop
10000287,0.8,tpv_drop
10000292,0.8,tpv_drop
10000295,0.8,tpv_drop
10000300,0.8,tpv_drop
10000301,0.8,tpv_drop
10000302,0.8,tpv_drop
10000304,0.8,tpv_drop
10000309,0.8,tpv_drop
10000312,0.8,tpv_drop
10000314,0.8,tpv_drop
10000315,0.8,tpv_drop
10000319,0.8,tpv_drop
10000320,0.8,tpv_drop
10000321,0.8,tpv_drop
10000322,0.8,tpv_drop
10000329,0.8,tpv_drop
10000337,0.8,tpv_drop
10000340,0.8,tpv_drop
10000344,0.8,tpv_drop
10000347,0.8,tpv_drop
10000355,0.8,tpv_drop
10000357,0.8,tpv_drop
10000361,0.8,tpv_drop
10000363,0.8,tpv_drop
10000367,0.8,tpv_drop
10000370,0.8,tpv_drop
10000373,0.8,tpv_drop
10000374,0.8,tpv_drop
10000378,0.8,tpv_drop
10000380,0.8,tpv_drop
10000398,0.8,tpv_drop
10000401,0.8,tpv_drop
10000415,0.8,tpv_drop
10000416,0.8,tpv_drop
10000418,0.8,tpv_drop
10000419,0.8,tpv_drop
10000424,0.8,tpv_drop
10000427,0.8,tpv_drop
10000430,0.8,tpv_drop
10000433,0.8,tpv_drop
10000444,0.8,tpv_drop
10000451,0.8,tpv_drop
10000454,0.8,tpv_drop
10000455,0.8,tpv_drop
10000461,0.8,tpv_drop
10000474,0.8,tpv_drop
10000475,0.8,tpv_drop
10000476,0.8,tpv_drop
10000477,0.8,tpv_drop
10000485,0.8,tpv_drop
10000491,0.8,tpv_drop
10000495,0.8,tpv_drop
10000500,0.8,tpv_drop
10000503,0.8,tpv_drop
